m,repeat_after,max_value,most common value in tail
1,1,1,1
2,7,5,5
3,21,14,14
4,19,19,15
5,30,19,19
6,26,34,34
7,68,43,19
8,106,43,41
9,72,43,41
10,231,82,70
11,84,69,39
12,286,94,74
13,187,118,43
14,745,118,82
15,88,118,114
16,465,128,94
17,152,178,114
18,1111,190,150
19,650,194,82
20,292,194,118
21,220,157,118
22,947,194,166
23,1737,218,166
24,347,206,190
25,1039,262,190
26,3042,302,190
27,5281,282,174
28,1144,278,190
29,5331,294,166
30,1902,302,214
31,825,265,166
32,9714,358,194
33,1407,215,194
34,755,262,194
35,414,211,155
36,3561,358,302
37,824,326,314
38,3761,414,178
39,3552,411,302
40,352,319,155
41,2037,472,314
42,3425,458,314
43,8074,454,314
44,2615,484,350
45,277,358,350
46,2410,502,314
47,2927,478,358
48,1872,524,354
49,1481,502,214
50,394,419,354
51,2010,574,354
52,2761,491,314
53,2266,508,434
54,5722,579,430
55,5641,591,434
56,3514,676,314
57,3061,496,358
58,1669,593,358
59,1899,485,314
60,3604,656,358
61,7365,602,498
62,5458,599,314
63,7538,576,506
64,10054,677,358
65,9873,726,358
66,9195,754,314
67,2333,681,358
68,24891,716,302
69,2879,787,358
70,6330,614,358
71,6599,786,602
72,2704,614,314
73,10444,778,358
74,12064,892,498
75,5547,718,358
76,2988,796,610
77,9590,787,498
78,11919,832,498
79,28712,919,642
80,6848,844,482
81,40124,921,566
82,13890,919,566
83,18248,911,502
84,31735,922,502
85,78360,994,335
86,63810,1044,502
87,196042,1048,502
88,39771,958,658
89,34497,954,742
90,2071,789,502
91,25478,934,566
92,90120,1038,658
93,5450,974,658
94,18219,1034,746
95,36472,1078,658
96,45532,1059,742
97,16620,958,762
98,4663,1042,742
99,37644,1096,808
100,28477,1090,808
101,41094,1182,762
102,33567,1090,834
103,26648,1030,834
104,9484,1202,834
105,13923,1042,566
106,7501,1172,834
107,7343,1172,834
108,16340,1082,834
109,27526,1227,834
110,12519,1172,834
111,45286,1268,834
112,11145,1290,834
113,17054,1282,934
114,28657,1202,834
115,39853,1284,834
116,15239,1172,834
117,49879,1438,834
118,38670,1300,834
119,16174,1318,950
120,34099,1342,834
121,29544,1317,834
122,16330,1388,834
123,65098,1372,834
124,39171,1448,834
125,20690,1317,1030
126,25756,1548,834
127,18831,1322,1016
128,29651,1442,834
129,31651,1447,834
130,31531,1502,834
131,22295,1453,834
132,24471,1338,834
133,23872,1464,838
134,58133,1582,1074
135,39258,1606,838
136,53761,1582,838
137,23481,1502,838
138,9281,1348,746
139,46648,1610,838
140,3075,1322,842
141,14740,1622,838
142,23042,1625,842
143,79139,1622,838
144,35943,1478,838
145,10946,1451,746
146,74445,1846,842
147,10317,1562,766
148,23483,1492,842
149,110604,1772,758
150,85868,1762,842
151,131741,1882,842
152,145627,1838,766
153,24059,1796,746
154,51661,1870,842
155,234482,1874,842
156,257444,1862,842
157,69036,2026,842
158,192249,1826,842
159,220989,2052,681
160,32161,1900,842
161,13923,1444,842
162,291560,2102,842
163,36767,1994,842
164,218668,1948,842
165,62302,1966,681
166,1069321,2036,1342
167,34365,2038,1336
168,116061,2018,1342
169,319488,2194,1342
170,126131,1948,1394
171,147924,2182,1398
172,87285,2238,1394
173,404584,2108,1394
174,43209,2018,1394
175,85257,2074,1394
176,98161,2319,1394
177,561505,2282,1394
178,84841,2274,1342
179,1741849,2266,1394
180,132252,2102,1434
181,737343,2302,1490
182,89140,2194,1558
183,111803,2312,1490
184,572338,2298,1394
185,46043,1964,1490
186,582017,2386,1462
187,691305,2274,1558
188,148930,2374,1558
189,34725,2131,1558
190,133886,2323,1542
191,55337,2374,1394
192,346124,2374,1542
193,235177,2302,1394
194,515595,2342,1576
195,329827,2406,1606
196,470922,2402,1342
197,38145,2342,1614
198,501088,2418,1810
199,351872,2490,1730
200,88490,2382,1394
201,194522,2526,1614
202,2155745,2638,1730
203,105397,2342,1394
204,578676,2566,1394
205,330953,2538,1730
206,230912,2436,1394
207,770132,2721,1394
208,239785,2630,1394
209,522134,2594,1810
210,512023,2814,1394
211,979572,2650,1688
212,528657,2638,1614
213,1702748,2804,1702
214,32718,2504,1614
215,2687228,2770,1342
216,328024,2726,1342
217,624138,2731,1394
218,469257,2638,1342
219,68955,2521,1342
220,900944,2866,1342
221,530623,2691,1394
222,60628,2503,1614
223,675682,2896,1614
224,70428,2822,1614
225,1124641,2944,1394
226,3153733,2866,1614
227,1853003,2878,1394
228,421053,2758,1346
229,246715,2759,1614
230,4008012,3062,1402
231,93223,2518,1402
232,1509607,3022,1346
233,692501,3204,1346
234,802111,2974,1402
235,1729897,3014,1702
236,3209978,3062,1402
237,3478278,3156,1402
238,463725,2931,1402
239,497686,3154,1402
240,844159,3058,1402
241,960465,3088,1402
242,1335252,3118,1622
243,1689863,3364,1402
244,1450450,3156,1622
245,190344,2935,1402
246,69169,2719,1702
247,1127640,3136,1402
248,257665,3286,1402
249,403984,2918,1402
250,66683,2933,1402
251,326437,3149,1402
252,3533660,3544,1622
253,1643094,3508,1402
254,1022095,3284,1402
255,94260,2954,1402
256,462788,3316,1402
257,121756,3106,1402
258,3746917,3516,1622
259,151063,3478,1622
260,717934,3386,1882
261,1797503,3482,1346
262,291147,3452,1402
263,642042,3609,1346
264,57356,2634,1622
265,100058,3286,1402
266,63286,2725,1346
267,626135,3494,2042
268,474540,3418,1402
269,426377,3478,1402
270,2799925,3594,1402
271,1837885,3586,1346
272,4560528,3662,1622
273,804656,3382,2230
274,17982,3554,1622
275,194253,3153,1622
276,1090343,3418,1402
277,1538290,3776,1346
278,1560828,3646,1402
279,53001,2994,1622
280,527410,3922,2248
281,572612,3637,1402
282,882844,3693,2042
283,46335,3209,1346
284,1919088,3838,1346
285,1854347,3643,2630
286,695271,3820,1402
287,3061934,4375,1402
288,283807,3687,2042
289,770209,3658,2042
290,1347266,3962,2630
291,203581,3646,1622
292,2962176,3868,2042
293,758639,3646,1622
294,3181464,4084,2630
295,765754,3958,2374
296,1286529,3868,2374
297,386571,3858,2630
298,621882,3742,2634
299,62523,3056,1346
300,502685,3670,2374
301,269829,4018,2374
302,792867,3852,2634
303,1444446,3902,2374
304,349989,3851,2374
305,172101,4072,2042
306,359443,3853,2630
307,3035047,4375,2634
308,1243913,4092,2630
309,555037,3938,2630
310,883514,4071,2630
311,323730,3849,2630
312,519070,3847,2374
313,818010,4198,2630
314,5675434,4375,2630
315,2211475,4156,2630
316,578792,4076,2630
317,4730906,4400,2630
318,2896184,4506,2374
319,3379121,4379,2630
320,323794,3964,2634
321,79859,3637,2042
322,5836097,4375,2374
323,2049914,4504,2042
324,2468614,4408,2630
325,3558258,4414,2630
326,1699679,4318,2042
327,188168,3643,2042
328,592331,4122,2374
329,146043,4262,2042
330,1571368,4106,2634
331,2460943,4548,2634
332,1602317,4402,2042
