m, repeat_after, max_value
0, 1, 0
1, 2, 1
2, 9, 5
3, 24, 14
4, 23, 19
5, 35, 19
6, 32, 34
7, 75, 43
8, 114, 43
9, 81, 43
10, 241, 82
11, 95, 69
12, 298, 94
13, 200, 118
14, 759, 118
15, 103, 118
16, 481, 128
17, 169, 178
18, 1129, 190
19, 669, 194
20, 312, 194
21, 241, 157
22, 969, 194
23, 1760, 218
24, 371, 206
25, 1064, 262
26, 3068, 302
27, 5308, 282
28, 1172, 278
29, 5360, 294
30, 1932, 302
31, 856, 265
32, 9746, 358
33, 1440, 215
34, 789, 262
35, 449, 211
36, 3597, 358
37, 861, 326
38, 3799, 414
39, 3591, 411
40, 392, 319
41, 2078, 472
42, 3467, 458
43, 8117, 454
44, 2659, 484
45, 322, 358
46, 2456, 502
47, 2974, 478
48, 1920, 524
49, 1530, 502
50, 444, 419
51, 2061, 574
52, 2813, 491
53, 2319, 508
54, 5776, 579
55, 5696, 591
56, 3570, 676
57, 3118, 496
58, 1727, 593
59, 1958, 485
60, 3664, 656
61, 7426, 602
62, 5520, 599
63, 7601, 576
64, 10118, 677
65, 9938, 726
66, 9261, 754
67, 2400, 681
68, 24959, 716
69, 2948, 787
70, 6400, 614
71, 6670, 786
72, 2776, 614
73, 10517, 778
74, 12138, 892
75, 5622, 718
76, 3064, 796
77, 9667, 787
78, 11997, 832
79, 28791, 919
80, 6928, 844
81, 40205, 921
82, 13972, 919
83, 18331, 911
84, 31819, 922
85, 78445, 994
86, 63896, 1044
87, 196129, 1048
88, 39859, 958
89, 34586, 954
90, 2161, 789
91, 25569, 934
92, 90212, 1038
93, 5543, 974
94, 18313, 1034
95, 36567, 1078
96, 45628, 1059
97, 16717, 958
98, 4761, 1042
99, 37743, 1096
100, 28577, 1090
101, 41195, 1182
102, 33669, 1090
103, 26751, 1030
104, 9588, 1202
105, 14028, 1042
106, 7607, 1172
107, 7450, 1172
108, 16448, 1082
109, 27635, 1227
110, 12629, 1172
111, 45397, 1268
112, 11257, 1290
113, 17167, 1282
114, 28771, 1202
115, 39968, 1284
116, 15355, 1172
117, 49996, 1438
118, 38788, 1300
119, 16293, 1318
120, 34219, 1342
121, 29665, 1317
